doc1_id,doc2_id,similarity,doc1_processed,doc2_processed
1,2,81.81802073667197,artificial intelligence future technology,future technology lie artificial intelligence
1,3,0.0,artificial intelligence future technology,machine learning subset ai revolutionizing various industry
1,4,22.02881505618297,artificial intelligence future technology,natural language processing important field within artificial intelligence
1,5,29.12194185636897,artificial intelligence future technology,impact ai future technology overstated
1,6,0.0,artificial intelligence future technology,deep learning algorithm transforming field computer vision
1,7,0.0,artificial intelligence future technology,robotics ai combining create autonomous system
1,8,0.0,artificial intelligence future technology,big data analytics relies heavily machine learning technique
1,9,0.0,artificial intelligence future technology,ethical implication ai topic ongoing debate
1,10,0.0,artificial intelligence future technology,quantum computing may revolutionize capability ai system
2,3,0.0,future technology lie artificial intelligence,machine learning subset ai revolutionizing various industry
2,4,19.08740661302035,future technology lie artificial intelligence,natural language processing important field within artificial intelligence
2,5,25.233420143369617,future technology lie artificial intelligence,impact ai future technology overstated
2,6,0.0,future technology lie artificial intelligence,deep learning algorithm transforming field computer vision
2,7,0.0,future technology lie artificial intelligence,robotics ai combining create autonomous system
2,8,0.0,future technology lie artificial intelligence,big data analytics relies heavily machine learning technique
2,9,0.0,future technology lie artificial intelligence,ethical implication ai topic ongoing debate
2,10,0.0,future technology lie artificial intelligence,quantum computing may revolutionize capability ai system
3,4,0.0,machine learning subset ai revolutionizing various industry,natural language processing important field within artificial intelligence
3,5,9.349477497536716,machine learning subset ai revolutionizing various industry,impact ai future technology overstated
3,6,7.7808943592850035,machine learning subset ai revolutionizing various industry,deep learning algorithm transforming field computer vision
3,7,8.45798608014702,machine learning subset ai revolutionizing various industry,robotics ai combining create autonomous system
3,8,15.592892548708361,machine learning subset ai revolutionizing various industry,big data analytics relies heavily machine learning technique
3,9,8.45798608014702,machine learning subset ai revolutionizing various industry,ethical implication ai topic ongoing debate
3,10,7.7808943592850035,machine learning subset ai revolutionizing various industry,quantum computing may revolutionize capability ai system
4,5,0.0,natural language processing important field within artificial intelligence,impact ai future technology overstated
4,6,7.244081925041986,natural language processing important field within artificial intelligence,deep learning algorithm transforming field computer vision
4,7,0.0,natural language processing important field within artificial intelligence,robotics ai combining create autonomous system
4,8,0.0,natural language processing important field within artificial intelligence,big data analytics relies heavily machine learning technique
4,9,0.0,natural language processing important field within artificial intelligence,ethical implication ai topic ongoing debate
4,10,0.0,natural language processing important field within artificial intelligence,quantum computing may revolutionize capability ai system
5,6,0.0,impact ai future technology overstated,deep learning algorithm transforming field computer vision
5,7,10.163066979112656,impact ai future technology overstated,robotics ai combining create autonomous system
5,8,0.0,impact ai future technology overstated,big data analytics relies heavily machine learning technique
5,9,10.163066979112656,impact ai future technology overstated,ethical implication ai topic ongoing debate
5,10,9.349477497536716,impact ai future technology overstated,quantum computing may revolutionize capability ai system
6,7,0.0,deep learning algorithm transforming field computer vision,robotics ai combining create autonomous system
6,8,7.244081925041986,deep learning algorithm transforming field computer vision,big data analytics relies heavily machine learning technique
6,9,0.0,deep learning algorithm transforming field computer vision,ethical implication ai topic ongoing debate
6,10,0.0,deep learning algorithm transforming field computer vision,quantum computing may revolutionize capability ai system
7,8,0.0,robotics ai combining create autonomous system,big data analytics relies heavily machine learning technique
7,9,9.193998174078082,robotics ai combining create autonomous system,ethical implication ai topic ongoing debate
7,10,18.443191662261306,robotics ai combining create autonomous system,quantum computing may revolutionize capability ai system
8,9,0.0,big data analytics relies heavily machine learning technique,ethical implication ai topic ongoing debate
8,10,0.0,big data analytics relies heavily machine learning technique,quantum computing may revolutionize capability ai system
9,10,8.45798608014702,ethical implication ai topic ongoing debate,quantum computing may revolutionize capability ai system
